iter	Passed	Remaining
141	2650	16012
142	2671	16009
143	2691	16001
144	2725	16071
145	2747	16069
146	2769	16072
147	2786	16040
148	2802	16004
149	2821	15987
150	2837	15956
151	2856	15937
152	2874	15911
153	2899	15930
154	2920	15919
155	2939	15900
156	2957	15882
157	2984	15902
158	3001	15874
159	3018	15845
160	3034	15811
161	3049	15776
162	3070	15766
163	3087	15736
164	3104	15713
165	3120	15676
166	3137	15652
167	3152	15613
168	3168	15577
169	3184	15546
170	3199	15512
171	3214	15476
172	3230	15443
173	3247	15417
174	3267	15402
175	3284	15377
176	3299	15343
177	3313	15303
178	3328	15268
179	3344	15234
180	3359	15202
181	3375	15170
182	3396	15162
183	3411	15129
184	3427	15098
185	3443	15069
186	3461	15048
187	3478	15024
188	3494	14996
189	3512	14975
190	3532	14961
191	3554	14960
192	3573	14943
193	3594	14931
194	3612	14911
195	3630	14891
196	3645	14859
197	3660	14827
198	3676	14798
199	3697	14788
200	3712	14759
201	3728	14728
202	3744	14700
203	3761	14675
204	3776	14646
205	3792	14615
206	3810	14598
207	3828	14576
208	3845	14555
209	3861	14526
210	3879	14505
211	3895	14479
212	3912	14455
213	3928	14428
214	3944	14400
215	3959	14371
216	3976	14350
217	3993	14324
218	4011	14305
219	4027	14279
220	4043	14252
221	4058	14224
222	4077	14206
223	4094	14183
224	4110	14157
225	4127	14137
226	4141	14104
227	4156	14075
228	4173	14049
229	4189	14024
230	4207	14006
231	4225	13987
232	4244	13973
233	4262	13954
234	4277	13923
235	4290	13888
236	4308	13870
237	4322	13839
238	4339	13817
239	4356	13795
240	4372	13770
241	4387	13741
242	4404	13721
243	4420	13696
244	4435	13667
245	4450	13641
246	4466	13616
247	4482	13591
248	4497	13564
249	4517	13552
250	4533	13528
251	4550	13506
252	4565	13480
253	4581	13455
254	4595	13426
255	4610	13398
256	4629	13385
257	4644	13358
258	4660	13333
259	4675	13308
260	4690	13280
261	4708	13261
262	4723	13237
263	4741	13217
264	4756	13191
265	4767	13155
266	4782	13129
267	4797	13103
268	4814	13081
269	4839	13084
270	4854	13058
271	4869	13034
272	4882	13003
273	4899	12981
274	4913	12954
275	4930	12934
276	4944	12906
277	4959	12881
278	4977	12863
279	4992	12838
280	5008	12815
281	5024	12792
282	5041	12773
283	5058	12752
284	5073	12727
285	5087	12701
286	5106	12685
287	5119	12657
288	5136	12636
289	5152	12613
290	5170	12597
291	5186	12575
292	5201	12551
293	5215	12525
294	5232	12504
295	5247	12481
296	5264	12460
297	5278	12433
298	5292	12409
299	5305	12379
300	5322	12359
301	5345	12355
302	5360	12331
303	5373	12303
304	5388	12277
305	5405	12258
306	5421	12237
307	5436	12214
308	5457	12204
309	5471	12177
310	5483	12149
311	5499	12126
312	5514	12104
313	5531	12085
314	5549	12067
315	5564	12044
316	5578	12019
317	5594	11998
318	5610	11977
319	5625	11954
320	5641	11933
321	5657	11911
322	5676	11898
323	5691	11874
324	5705	11850
325	5723	11833
326	5739	11812
327	5752	11786
328	5768	11765
329	5782	11739
330	5798	11719
331	5813	11696
332	5830	11679
333	5853	11672
334	5872	11657
335	5890	11641
336	5907	11622
337	5924	11602
338	5941	11585
339	5960	11569
340	5978	11554
341	5997	11539
342	6010	11513
343	6031	11501
344	6048	11483
345	6065	11464
346	6079	11441
347	6092	11415
348	6107	11392
349	6124	11373
350	6144	11360
351	6157	11335
352	6173	11315
353	6189	11295
354	6205	11274
355	6220	11253
356	6235	11231
357	6251	11211
358	6271	11198
359	6286	11176
360	6302	11155
361	6317	11134
362	6334	11115
363	6355	11105
364	6372	11086
365	6388	11066
366	6403	11044
367	6420	11026
368	6435	11005
369	6451	10984
370	6470	10970
371	6484	10947
372	6500	10927
373	6515	10905
374	6532	10887
375	6548	10867
376	6565	10850
377	6581	10830
378	6595	10807
379	6610	10785
380	6626	10765
381	6641	10745
382	6657	10724
383	6673	10706
384	6693	10692
385	6709	10671
386	6725	10652
387	6741	10633
388	6755	10611
389	6772	10593
390	6789	10574
391	6806	10556
392	6824	10540
393	6842	10523
394	6856	10502
395	6871	10480
396	6887	10460
397	6904	10443
398	6920	10424
399	6934	10402
400	6952	10385
401	6970	10368
402	6990	10356
403	7011	10343
404	7032	10331
405	7050	10315
406	7067	10297
407	7090	10288
408	7109	10273
409	7128	10258
410	7149	10246
411	7168	10230
412	7188	10216
413	7205	10199
414	7223	10183
415	7245	10171
416	7264	10155
417	7282	10140
418	7304	10128
419	7323	10114
420	7347	10104
421	7369	10093
422	7386	10076
423	7407	10062
424	7428	10050
425	7454	10043
426	7471	10025
427	7489	10009
428	7510	9996
429	7532	9984
430	7552	9970
431	7571	9954
432	7595	9945
433	7616	9932
434	7635	9917
435	7653	9900
436	7674	9887
437	7692	9870
438	7713	9857
439	7734	9843
440	7751	9826
441	7770	9810
442	7789	9793
443	7809	9779
444	7828	9763
445	7845	9745
446	7863	9728
447	7888	9719
448	7906	9702
449	7924	9685
450	7944	9670
451	7963	9654
452	7979	9635
453	7997	9618
454	8019	9605
455	8046	9599
456	8069	9588
457	8087	9571
458	8106	9554
459	8124	9537
460	8143	9521
461	8162	9505
462	8187	9495
463	8206	9479
464	8223	9461
465	8243	9446
466	8260	9428
467	8279	9411
468	8296	9393
469	8322	9384
470	8341	9368
471	8359	9351
472	8376	9332
473	8394	9315
474	8411	9297
475	8432	9282
476	8457	9273
477	8477	9257
478	8495	9240
479	8513	9222
480	8533	9207
481	8550	9188
482	8569	9172
483	8586	9153
484	8604	9136
485	8622	9119
486	8640	9101
487	8662	9088
488	8680	9070
489	8699	9055
490	8718	9038
491	8737	9021
492	8757	9006
493	8780	8994
494	8799	8976
495	8816	8958
496	8834	8940
497	8852	8924
498	8873	8909
499	8893	8893
500	8921	8885
501	8947	8876
502	8983	8876
503	9010	8867
504	9028	8849
505	9048	8834
506	9067	8816
507	9086	8800
508	9104	8782
509	9122	8764
510	9138	8745
511	9157	8728
512	9180	8715
513	9200	8699
514	9216	8679
515	9233	8660
516	9253	8644
517	9272	8628
518	9290	8610
519	9307	8591
520	9326	8575
521	9343	8556
522	9361	8538
523	9380	8521
524	9401	8506
525	9419	8488
526	9437	8470
527	9455	8452
528	9475	8436
529	9497	8422
530	9515	8404
531	9538	8390
532	9555	8372
533	9573	8354
534	9591	8336
535	9610	8319
536	9629	8302
537	9646	8284
538	9664	8265
539	9682	8248
540	9701	8231
541	9722	8215
542	9740	8197
543	9759	8180
544	9777	8162
545	9802	8151
546	9821	8134
547	9838	8115
548	9858	8098
549	9877	8081
550	9896	8064
551	9920	8051
552	9940	8034
553	9957	8016
554	9975	7998
555	9993	7980
556	10009	7961
557	10030	7945
558	10050	7929
559	10070	7912
560	10089	7895
561	10106	7876
562	10123	7857
563	10142	7840
564	10162	7824
565	10181	7807
566	10201	7790
567	10220	7773
568	10240	7757
569	10259	7739
570	10279	7722
571	10297	7705
572	10314	7686
573	10336	7671
574	10363	7660
575	10381	7642
576	10398	7622
577	10414	7603
578	10433	7585
579	10453	7569
580	10471	7551
581	10493	7536
582	10510	7517
583	10531	7502
584	10554	7487
585	10581	7475
586	10600	7458
587	10632	7450
588	10660	7438
589	10744	7466
590	10819	7487
591	10895	7508
592	10952	7516
593	11028	7538
594	11060	7528
595	11129	7543
596	11177	7545
597	11198	7528
598	11217	7509
599	11237	7491
600	11257	7473
601	11281	7458
602	11305	7443
603	11325	7425
604	11345	7407
605	11364	7388
606	11386	7372
607	11419	7362
608	11442	7346
609	11470	7333
610	11498	7320
611	11526	7307
612	11548	7291
613	11571	7274
614	11590	7256
615	11619	7243
616	11652	7233
617	11685	7222
618	11708	7206
619	11736	7193
620	11765	7180
621	11785	7162
622	11804	7143
623	11826	7126
624	11849	7109
625	11867	7090
626	11887	7071
627	11906	7052
628	11923	7033
629	11941	7013
630	11961	6994
631	11980	6975
632	11998	6956
633	12016	6937
634	12035	6917
635	12057	6900
636	12075	6881
637	12093	6862
638	12114	6843
639	12131	6824
640	12152	6806
641	12171	6787
642	12189	6767
643	12209	6749
644	12229	6731
645	12247	6711
646	12277	6698
647	12295	6678
648	12316	6660
649	12336	6642
650	12360	6626
651	12385	6610
652	12415	6597
653	12448	6586
654	12481	6574
655	12501	6555
656	12519	6536
657	12540	6517
658	12558	6498
659	12579	6480
660	12601	6462
661	12618	6442
662	12637	6423
663	12656	6404
664	12675	6385
665	12693	6365
666	12713	6347
667	12731	6327
668	12761	6314
669	12782	6295
670	12805	6278
671	12826	6260
672	12846	6242
673	12866	6223
674	12887	6205
675	12907	6186
676	12926	6167
677	12946	6148
678	12964	6129
679	12984	6110
680	13006	6092
681	13025	6073
682	13056	6059
683	13077	6041
684	13104	6026
685	13125	6008
686	13143	5988
687	13167	5971
688	13190	5953
689	13208	5934
690	13224	5913
691	13239	5892
692	13255	5872
693	13270	5851
694	13287	5831
695	13305	5811
696	13320	5790
697	13338	5771
698	13353	5750
699	13369	5729
700	13385	5709
701	13403	5689
702	13418	5669
703	13434	5648
704	13449	5627
705	13464	5607
706	13476	5584
707	13492	5564
708	13512	5546
709	13525	5524
710	13539	5503
711	13554	5482
712	13570	5462
713	13585	5441
714	13602	5422
715	13620	5402
716	13638	5382
717	13671	5369
718	13705	5356
719	13732	5340
720	13749	5320
721	13766	5300
722	13781	5280
723	13797	5259
724	13811	5238
725	13825	5217
726	13839	5197
727	13854	5176
728	13869	5155
729	13884	5135
730	13900	5115
731	13915	5094
732	13932	5074
733	13950	5055
734	13965	5035
735	13981	5014
736	13996	4994
737	14011	4974
738	14026	4953
739	14041	4933
740	14056	4913
741	14073	4893
742	14087	4872
743	14100	4851
744	14115	4831
745	14131	4811
746	14145	4790
747	14160	4770
748	14175	4750
749	14192	4730
750	14209	4711
751	14225	4691
752	14241	4671
753	14256	4651
754	14271	4631
755	14286	4610
756	14298	4589
757	14314	4569
758	14329	4549
759	14344	4529
760	14361	4510
761	14375	4490
762	14393	4470
763	14407	4450
764	14423	4430
765	14437	4410
766	14453	4390
767	14468	4370
768	14483	4350
769	14499	4330
770	14515	4311
771	14528	4290
772	14541	4270
773	14557	4250
774	14572	4230
775	14587	4210
776	14602	4190
777	14617	4171
778	14633	4151
779	14647	4131
780	14662	4111
781	14673	4090
782	14689	4071
783	14704	4051
784	14719	4031
785	14733	4011
786	14749	3991
787	14766	3972
788	14782	3953
789	14798	3933
790	14813	3914
791	14829	3894
792	14846	3875
793	14861	3855
794	14872	3835
795	14887	3815
796	14902	3795
797	14920	3776
798	14934	3757
799	14949	3737
800	14964	3717
801	14980	3698
802	14995	3678
803	15010	3659
804	15025	3639
805	15042	3620
806	15054	3600
807	15070	3581
808	15084	3561
809	15100	3542
810	15115	3522
811	15129	3502
812	15144	3483
813	15158	3463
814	15172	3444
815	15189	3424
816	15211	3407
817	15227	3388
818	15244	3369
819	15259	3349
820	15275	3330
821	15290	3311
822	15307	3292
823	15323	3273
824	15339	3253
825	15356	3234
826	15372	3215
827	15389	3196
828	15405	3177
829	15421	3158
830	15436	3139
831	15449	3119
832	15462	3099
833	15475	3080
834	15494	3061
835	15509	3042
836	15523	3023
837	15540	3004
838	15554	2984
839	15569	2965
840	15589	2947
841	15604	2928
842	15618	2908
843	15636	2890
844	15652	2871
845	15667	2852
846	15684	2833
847	15698	2813
848	15709	2794
849	15725	2775
850	15740	2755
851	15755	2736
852	15771	2718
853	15787	2699
854	15803	2680
855	15818	2660
856	15834	2642
857	15850	2623
858	15866	2604
859	15881	2585
860	15896	2566
861	15907	2546
862	15923	2527
863	15938	2508
864	15952	2489
865	15967	2470
866	15983	2451
867	15998	2432
868	16011	2413
869	16026	2394
870	16039	2375
871	16056	2356
872	16070	2337
873	16085	2319
874	16099	2299
875	16115	2281
876	16132	2262
877	16146	2243
878	16161	2224
879	16175	2205
880	16191	2186
881	16208	2168
882	16224	2149
883	16239	2130
884	16252	2111
885	16267	2093
886	16282	2074
887	16297	2055
888	16310	2036
889	16326	2017
890	16343	1999
891	16359	1980
892	16373	1961
893	16390	1943
894	16405	1924
895	16420	1905
896	16433	1887
897	16448	1868
898	16461	1849
899	16475	1830
900	16492	1812
901	16507	1793
902	16522	1774
903	16535	1756
904	16548	1737
905	16562	1718
906	16578	1699
907	16592	1681
908	16607	1662
909	16622	1643
910	16638	1625
911	16654	1606
912	16671	1588
913	16686	1570
914	16702	1551
915	16717	1533
916	16736	1514
917	16765	1497
918	16792	1480
919	16827	1463
920	16857	1445
921	16876	1427
922	16900	1409
923	16923	1391
924	16941	1373
925	16958	1355
926	16975	1336
927	16989	1318
928	17007	1299
929	17022	1281
930	17037	1262
931	17051	1244
932	17067	1225
933	17082	1207
934	17097	1188
935	17110	1169
936	17124	1151
937	17141	1133
938	17156	1114
939	17171	1096
940	17185	1077
941	17203	1059
942	17219	1040
943	17233	1022
944	17248	1003
945	17264	985
946	17281	967
947	17298	948
948	17314	930
949	17332	912
950	17353	894
951	17374	876
952	17395	857
953	17429	840
954	17445	822
955	17462	803
956	17480	785
957	17496	767
958	17512	748
959	17527	730
960	17544	711
961	17559	693
962	17579	675
963	17596	657
964	17611	638
965	17626	620
966	17643	602
967	17659	583
968	17676	565
969	17692	547
970	17707	528
971	17725	510
972	17743	492
973	17761	474
974	17776	455
975	17795	437
976	17811	419
977	17837	401
978	17858	383
979	17886	365
980	17913	346
981	17943	328
982	17974	310
983	18022	293
984	18040	274
985	18059	256
986	18073	238
987	18090	219
988	18108	201
989	18125	183
990	18142	164
991	18158	146
992	18173	128
993	18190	109
994	18205	91
995	18221	73
996	18236	54
997	18255	36
998	18271	18
999	18286	0
